season,target,feature,perm_mean,perm_std,n_rows
21-22,points,possession,-0.12701701170285606,0.014033822796562246,760
21-22,points,field_tilt,-0.5094530220101197,0.025190414534504053,760
21-22,points,game_control_share,-0.8290851483189293,0.03192731530457055,760
21-22,points,ppda_inv,2.8140852316669297e-05,0.00017190722326322958,760
21-22,points,high_recoveries,-0.014226143360059092,0.004708625716602136,760
21-22,points,on_ball_pressure_share,-0.04485487028699622,0.00944522205617976,760
21-22,points,off_ball_pressure_share,-0.19097792947259393,0.016848740672814656,760
21-22,points,xt,-0.014693713093682054,0.00406490737409828,760
21-22,points,passes_into_box,0.0016647915385048107,0.0020954131713478512,760
21-22,points,shots_per_1_0_xt,-0.0035869167362076525,0.0022597109168650343,760
21-22,points,avg_pass_height,-0.031808966970422646,0.005453980424036939,760
21-22,points,crosses,-0.19792889709631514,0.015259344806770044,760
21-22,points,set_piece_xg,4.9484998898856604e-05,0.0009021698167274068,760
21-22,points,corners,-0.02445847970463335,0.006314016742509968,760
21-22,points,throw_ins_into_box,0.0005354930925684842,0.00028468016841317234,760
21-22,points,is_home,-0.007397318225209548,0.002438236025858147,760
22-23,points,possession,-0.047995248207361826,0.009408539018028805,760
22-23,points,field_tilt,-0.2781075305606158,0.01739102711008243,760
22-23,points,game_control_share,-0.7830821866699247,0.03508681963208528,760
22-23,points,ppda_inv,-0.0063123955856635,0.0025990272820591164,760
22-23,points,high_recoveries,-2.949392105309645e-05,0.0004960970341786663,760
22-23,points,on_ball_pressure_share,-0.09313090264016324,0.01098691853583556,760
22-23,points,off_ball_pressure_share,-0.14565601348548218,0.01681680987165045,760
22-23,points,xt,-0.004755657982939385,0.0015643774264742438,760
22-23,points,passes_into_box,-0.0018591457856678728,0.0007885373022096188,760
22-23,points,shots_per_1_0_xt,-0.0009407599589121718,0.0007161046906920912,760
22-23,points,avg_pass_height,-0.0009228114756762684,0.000626693781511953,760
22-23,points,crosses,-0.1594967361378319,0.013826135001972587,760
22-23,points,set_piece_xg,-0.004172506834565235,0.0021941827417271695,760
22-23,points,corners,-0.037666876148940334,0.005967893806900582,760
22-23,points,throw_ins_into_box,-5.107839864953778e-05,0.0001791361034462955,760
22-23,points,is_home,-0.03312761288751625,0.0069893611647392235,760
23-24,points,possession,-0.46656041470152637,0.028079370738437675,760
23-24,points,field_tilt,-0.6165649647983746,0.03575404400407966,760
23-24,points,game_control_share,-0.7627117832296818,0.0266709846103786,760
23-24,points,ppda_inv,-0.004994082670166322,0.0028040275780729677,760
23-24,points,high_recoveries,-0.0027269856807310734,0.0014443125415430375,760
23-24,points,on_ball_pressure_share,-0.011518219631172073,0.008164298864748848,760
23-24,points,off_ball_pressure_share,-0.006893836730066858,0.004395311113843146,760
23-24,points,xt,-0.011830869126208924,0.002725989935680214,760
23-24,points,passes_into_box,0.0046766184583918015,0.002186364857290184,760
23-24,points,shots_per_1_0_xt,-0.00017608051432403736,0.0003520803090872326,760
23-24,points,avg_pass_height,-0.0018600280283062175,0.0007320351182114034,760
23-24,points,crosses,-0.1070541510640802,0.01780319603918789,760
23-24,points,set_piece_xg,-0.0027496001154017334,0.0011674416092347282,760
23-24,points,corners,-0.016994268842426843,0.005439189661786165,760
23-24,points,throw_ins_into_box,3.757398530402245e-05,0.0007841457643271144,760
23-24,points,is_home,-0.010098024935483951,0.0036161111359890807,760
24-25,points,possession,-0.04969976677649399,0.00685691689284005,760
24-25,points,field_tilt,-0.2663557937488036,0.017809902254372432,760
24-25,points,game_control_share,-0.9618591938773752,0.03897736221237567,760
24-25,points,ppda_inv,-0.008555544514800863,0.0030471834907062323,760
24-25,points,high_recoveries,-0.008418529849497097,0.002499953843834853,760
24-25,points,on_ball_pressure_share,-0.28216279036987557,0.015890855333976963,760
24-25,points,off_ball_pressure_share,-0.08664724875178444,0.008142581101319908,760
24-25,points,xt,-0.005975993423063675,0.002326706515724159,760
24-25,points,passes_into_box,-0.006500372904525276,0.0020465136425086203,760
24-25,points,shots_per_1_0_xt,2.9060948485604144e-05,5.737837566376865e-05,760
24-25,points,avg_pass_height,-0.011231153769612288,0.003059515978818456,760
24-25,points,crosses,-0.07557819186345868,0.009315973033769891,760
24-25,points,set_piece_xg,-0.005650985641903254,0.0024424293649866983,760
24-25,points,corners,-0.009082414944006141,0.0029903317952324504,760
24-25,points,throw_ins_into_box,-5.5144167724718865e-05,0.00031230770253793115,760
24-25,points,is_home,-0.004892903579798938,0.001991024893774813,760
