feature,mean,std,min,max
throw_ins_into_box,0.0001167111278745625,0.00028244680273391254,-5.5144167724718865e-05,0.0005354930925684842
passes_into_box,-0.000504527173324134,0.00480747235553887,-0.006500372904525276,0.0046766184583918015
shots_per_1_0_xt,-0.0011686740652395644,0.0016652981290624022,-0.0035869167362076525,2.9060948485604144e-05
set_piece_xg,-0.0031309018982428414,0.0024287180969626114,-0.005650985641903254,4.9484998898856604e-05
ppda_inv,-0.004958470479578504,0.003634997276994026,-0.008555544514800863,2.8140852316669297e-05
high_recoveries,-0.00635028820283509,0.006308393337077525,-0.014226143360059092,-2.949392105309645e-05
xt,-0.00931405840647351,0.004732748074403952,-0.014693713093682054,-0.004755657982939385
avg_pass_height,-0.011455740061004355,0.014344854578403591,-0.031808966970422646,-0.0009228114756762684
is_home,-0.01387896490700217,0.013007267174286633,-0.03312761288751625,-0.004892903579798938
corners,-0.022050509910001667,0.012157388340991535,-0.037666876148940334,-0.009082414944006141
off_ball_pressure_share,-0.10754375710998185,0.07954218113243096,-0.19097792947259393,-0.006893836730066858
on_ball_pressure_share,-0.10791669573205179,0.1208991055893634,-0.28216279036987557,-0.011518219631172073
crosses,-0.13501449404042148,0.05438154431367786,-0.19792889709631514,-0.07557819186345868
possession,-0.17281811034705957,0.19926628368491753,-0.46656041470152637,-0.047995248207361826
field_tilt,-0.41762032777947844,0.17354825666231613,-0.6165649647983746,-0.2663557937488036
game_control_share,-0.8341845780239777,0.08952956032216339,-0.9618591938773752,-0.7627117832296818
