season,target,feature,coef,abs_coef,alpha,n_rows
21-22,points,possession,0.33794221466421237,0.33794221466421237,4.714866363457395,760
21-22,points,field_tilt,-0.8314341621943515,0.8314341621943515,4.714866363457395,760
21-22,points,game_control_share,1.1696113117692597,1.1696113117692597,4.714866363457395,760
21-22,points,ppda_inv,0.001981184784043738,0.001981184784043738,4.714866363457395,760
21-22,points,high_recoveries,0.10017045417978593,0.10017045417978593,4.714866363457395,760
21-22,points,on_ball_pressure_share,-0.26121697273423355,0.26121697273423355,4.714866363457395,760
21-22,points,off_ball_pressure_share,-0.49488893844037973,0.49488893844037973,4.714866363457395,760
21-22,points,xt,0.11546291800313155,0.11546291800313155,4.714866363457395,760
21-22,points,passes_into_box,-0.04143442490312363,0.04143442490312363,4.714866363457395,760
21-22,points,shots_per_1_0_xt,0.07326068042754973,0.07326068042754973,4.714866363457395,760
21-22,points,avg_pass_height,0.15459332540791276,0.15459332540791276,4.714866363457395,760
21-22,points,crosses,-0.5350979646429063,0.5350979646429063,4.714866363457395,760
21-22,points,set_piece_xg,0.02410787356587934,0.02410787356587934,4.714866363457395,760
21-22,points,corners,0.17510526155272518,0.17510526155272518,4.714866363457395,760
21-22,points,throw_ins_into_box,0.002502890790509355,0.002502890790509355,4.714866363457395,760
21-22,points,is_home,0.09334099716569287,0.09334099716569287,4.714866363457395,760
22-23,points,possession,0.17454394751441588,0.17454394751441588,10.985411419875572,760
22-23,points,field_tilt,-0.5418195013821939,0.5418195013821939,10.985411419875572,760
22-23,points,game_control_share,1.1023724991006187,1.1023724991006187,10.985411419875572,760
22-23,points,ppda_inv,0.08786096177106108,0.08786096177106108,10.985411419875572,760
22-23,points,high_recoveries,-0.031225351053799644,0.031225351053799644,10.985411419875572,760
22-23,points,on_ball_pressure_share,-0.3022054544771323,0.3022054544771323,10.985411419875572,760
22-23,points,off_ball_pressure_share,-0.3976769968765989,0.3976769968765989,10.985411419875572,760
22-23,points,xt,0.049574568420483044,0.049574568420483044,10.985411419875572,760
22-23,points,passes_into_box,0.03683401560777684,0.03683401560777684,10.985411419875572,760
22-23,points,shots_per_1_0_xt,0.027620124045973467,0.027620124045973467,10.985411419875572,760
22-23,points,avg_pass_height,-0.00585055645401689,0.00585055645401689,10.985411419875572,760
22-23,points,crosses,-0.4766265538795451,0.4766265538795451,10.985411419875572,760
22-23,points,set_piece_xg,-0.05919023305794434,0.05919023305794434,10.985411419875572,760
22-23,points,corners,0.19776453906689057,0.19776453906689057,10.985411419875572,760
22-23,points,throw_ins_into_box,-0.012778935428585103,0.012778935428585103,10.985411419875572,760
22-23,points,is_home,0.18389508120294387,0.18389508120294387,10.985411419875572,760
23-24,points,possession,0.682187548817644,0.682187548817644,6.25055192527397,760
23-24,points,field_tilt,-0.872453580923796,0.872453580923796,6.25055192527397,760
23-24,points,game_control_share,1.1224512919568017,1.1224512919568017,6.25055192527397,760
23-24,points,ppda_inv,0.08630410228855788,0.08630410228855788,6.25055192527397,760
23-24,points,high_recoveries,0.016616924627543533,0.016616924627543533,6.25055192527397,760
23-24,points,on_ball_pressure_share,-0.19210433069972727,0.19210433069972727,6.25055192527397,760
23-24,points,off_ball_pressure_share,-0.17476767673638666,0.17476767673638666,6.25055192527397,760
23-24,points,xt,0.08538108325519556,0.08538108325519556,6.25055192527397,760
23-24,points,passes_into_box,-0.04367903798076966,0.04367903798076966,6.25055192527397,760
23-24,points,shots_per_1_0_xt,-0.011282074613551225,0.011282074613551225,6.25055192527397,760
23-24,points,avg_pass_height,-0.009447669785040304,0.009447669785040304,6.25055192527397,760
23-24,points,crosses,-0.4123039136017206,0.4123039136017206,6.25055192527397,760
23-24,points,set_piece_xg,0.04064613081503928,0.04064613081503928,6.25055192527397,760
23-24,points,corners,0.12643936265861644,0.12643936265861644,6.25055192527397,760
23-24,points,throw_ins_into_box,-0.02851612668440044,0.02851612668440044,6.25055192527397,760
23-24,points,is_home,0.08309774740462231,0.08309774740462231,6.25055192527397,760
24-25,points,possession,0.19903670066037016,0.19903670066037016,8.286427728546842,760
24-25,points,field_tilt,-0.5833828775639714,0.5833828775639714,8.286427728546842,760
24-25,points,game_control_share,1.2706901350187272,1.2706901350187272,8.286427728546842,760
24-25,points,ppda_inv,0.08777632988374683,0.08777632988374683,8.286427728546842,760
24-25,points,high_recoveries,0.06812426141306928,0.06812426141306928,8.286427728546842,760
24-25,points,on_ball_pressure_share,-0.5609168471508094,0.5609168471508094,8.286427728546842,760
24-25,points,off_ball_pressure_share,-0.31707615180160553,0.31707615180160553,8.286427728546842,760
24-25,points,xt,0.06121779203804176,0.06121779203804176,8.286427728546842,760
24-25,points,passes_into_box,0.06053136570256222,0.06053136570256222,8.286427728546842,760
24-25,points,shots_per_1_0_xt,-0.0033986673482240748,0.0033986673482240748,8.286427728546842,760
24-25,points,avg_pass_height,0.06314454717196276,0.06314454717196276,8.286427728546842,760
24-25,points,crosses,-0.3524306162316564,0.3524306162316564,8.286427728546842,760
24-25,points,set_piece_xg,0.0672509781284285,0.0672509781284285,8.286427728546842,760
24-25,points,corners,0.07833932722502397,0.07833932722502397,8.286427728546842,760
24-25,points,throw_ins_into_box,-0.01018090391760933,0.01018090391760933,8.286427728546842,760
24-25,points,is_home,0.0550717133351333,0.0550717133351333,8.286427728546842,760
