team_name,21-22,22-23,23-24,24-25
AFC Bournemouth,,Low control + low threat,Balanced / mid-control,Balanced / mid-control
Arsenal,Balanced / mid-control,Dominant control + high press,Dominant control + high press,Dominant control + high press
Aston Villa,Balanced / mid-control,Low control + low threat,Balanced / mid-control,Balanced / mid-control
Brentford,Set-piece & throw-in focused,Set-piece & throw-in focused,Set-piece & throw-in focused,Set-piece & throw-in focused
Brighton & Hove Albion,Balanced / mid-control,Dominant control + high press,Balanced / mid-control,Balanced / mid-control
Burnley,Reactive / defensive + wide-direct,,Low control + low threat,
Chelsea,Dominant control + high press,Balanced / mid-control,Balanced / mid-control,Balanced / mid-control
Crystal Palace,Balanced / mid-control,Low control + low threat,Low control + low threat,Reactive / defensive + wide-direct
Everton,Reactive / defensive + wide-direct,Reactive / defensive + wide-direct,Reactive / defensive + wide-direct,Reactive / defensive + wide-direct
Fulham,,Balanced / mid-control,Balanced / mid-control,Balanced / mid-control
Ipswich Town,,,,Low control + low threat
Leeds United,Balanced / mid-control,Balanced / mid-control,,
Leicester City,Low control + low threat,Low control + low threat,,Low control + low threat
Liverpool,Dominant control + high press,Dominant control + high press,Dominant control + high press,Dominant control + high press
Luton Town,,,Reactive / defensive + wide-direct,
Manchester City,Dominant control + high press,Dominant control + high press,Dominant control + high press,Dominant control + high press
Manchester United,Balanced / mid-control,Balanced / mid-control,Balanced / mid-control,Balanced / mid-control
Newcastle United,Low control + low threat,Dominant control + high press,Balanced / mid-control,Balanced / mid-control
Norwich City,Low control + low threat,,,
Nottingham Forest,,Low control + low threat,Low control + low threat,Reactive / defensive + wide-direct
Sheffield United,,,Low control + low threat,
Southampton,Reactive / defensive + wide-direct,Low control + low threat,,Low control + low threat
Tottenham Hotspur,Balanced / mid-control,Balanced / mid-control,Dominant control + high press,Balanced / mid-control
Watford,Low control + low threat,,,
West Ham United,Reactive / defensive + wide-direct,Reactive / defensive + wide-direct,Set-piece & throw-in focused,Low control + low threat
Wolverhampton Wanderers,Low control + low threat,Low control + low threat,Low control + low threat,Low control + low threat
